judul,abstraksi
Pengaruh Kompensasi Terhadap Kinerja Karywan pada PT. Pos Indonesia (Persero) Kantor Cabang Bnagkalan ,"ABSTRAK 

	Tujuan penelitian ini adalah untuk mengetahui apakah variabel yang terdiri dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan memiliki pengaruh yang signifikan terhadap kinerja karyawan, serta untuk mengetahui variabel manakah dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial yang berpengaruh dominan terhadap kinerja karyawan, untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS. 
	Hasil pengujian menunjukkan nilai Fhitung sebesar 6,851 dengan nilai signifikan Fhitung sebesar 0.001 (p<0.05) yang berarti ada pengaruh signifikan variabel kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan terhadap kinerja karyawan pada PT. Pos Indonesia (Persero) Kantor Cabang Bangkalan.

Kata kunci: kompensasi, kinerja karyawan
"
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
","ABSTRAK
Penelitian ini bertujuan untuk meneliti apakah pendidikan dan pelatihan berpengaruh secara parsial dan secara simultan dalam rangka meningkatkan produktivitas karyawan, serta meniliti apakah variabel pendidikan berpengaruh dominan dalam meningkatkan produktivitas karyawan. untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS.
Hasil pengujian menunjukkan nilai Fhitung sebesar 10,542 dengan nilai signifikan Fhitung sebesar 0.000 (p<0.05) yang berarti ada pengaruh signifikan variabel pendidikan dan pelatihan secara bersama-sama dalam meningkatkan produktivitas karyawan pada PT. Pos Indonesia (persero) kantor Cabang Bangkalan. Koefisien determinasi berganda (R) atau R square sebesar 0,310 berarti secara bersama-sama 3,10% perubahan variabel produktivitas karyawan pada PT. Pos Indonesia (persero) Cabang Bangkalan disebabkan oleh variabel pendidikan dan pelatihan. Sedangkan sisanya 6,90% disebabkan oleh variabel lain yang tidak masuk dalam model ini. Dari hasil penelitian ini variabel pendidikan terbukti kebenarannya yang berpengaruh dominan dengan nilai beta sebesar 0,433.
"
"Pengaruh Budaya Terhadap Perilaku Pengemis Anak 
Di Kecamatan Kamal-Kab. Bangkalan","Munculnya asumsi bahwa lahirnya budaya mengemis disebabkan adanya dua budaya yang paling berpengaruh terhadap anak dalam memilih profesi menjadi pengemis yaitu budaya lingkungan dan keluarga. Budaya juga mampu mempengaruhi sikap dan  periaku seseorang. Hal ini disebabkan karena kebiasaan yang dilakukan setiap hari dalam kehidupan sehari-hari. 
Berdasarkan hasil penelitian tentang pengaruh budaya terhadap perilaku pengemis anak di Kamal kab. Bangkalan dapat dikatakan sangat memprihatinkan. Hal ini dapat dilihat dari dua variabel yaitu variabel budaya yang terdiri dari tiga indikator dalam mengukur suatu budaya diantaranya etnografis yaitu tentang persepsi mereka sebagai pengemis. Sosialisasi yaitu adanya peran dari keluarga atau lingkungan yang menyebabkan mereka berprofesi sebagai pengemis. Modus operandi yaitu bentuk pengemis atau praktek mengemis, serta jaringan antara pengemis yang ada di desa tersebut. serta variable perilaku yang terdiri dari dua indicator yaitu behavioral sociology yang menerangkan tingkah laku yang terjadi di masa sekarang melalui kemungkinan akibatnya yang terjadi di masa yang akan datang. Sedangkan  teory exchange of social yang menerangkan bahwa suatu atau kekecewaan yang terjadi dalam kehidupan manusia bersumber pada perilaku pihak lain. Berdasarkan hasil dari penelitian, terdapat perilaku anak yang menyebabkan kekecewaan karena adnya faktor atau dorongan dari budaya keluarga dan lingkungan.
Kata kunci: Perilaku Sosial dan budaya
"
PENGARUH ETOS KERJA TERHADAP RESTASI KERJA KARYAWAN PT. PLN (Persero) DISTRIBUSI JAWA TIMUR AREA MOJOKERTO.,"Abtrak	
USWATUN KHASANAH, “Pengaruh Etos Kerja Terhadap Presatasi Kerja Karyawan PT.PLN (Persero) Diatribusi Jawa Timur Area Mojokerto”. 
Pengumpulan data dalam  penelitian ini adalah mengunakan survey kuesioner. Kuesioner dibagikan kepada sebagian karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto yang berjumlah 50 karyawan. Teknik analisis data yang digunakan untuk meguji hipotesis ini adalah menggunakan regresi Linier Berganda dengan memakai uji F dan uji t. Hasil analisis penelitian ini menyatakan secara simultan dengan menggunakan uji F etos kerja yang terdiri dari semanagt kerja, disiplin kerja dan kerja sama secara bersama-sama mempunyai pengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto.
Secara parsial dengan menggunakan uji t menunjukkan bahwa variabel kerja sama dan semangat kerja berpengaruh signifikan, sedangkan variabel disiplin kerja tidak berpengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto. Sedangkan variabel etos kerja merupakan variabel dominan yang mempengaruhi prestasi kerja karyawan. Sehingga dapat disimpulkan bahwa untuk meningkatkan prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto harus meningkatkan etos kerja dari kerja sama dan semangat kerja..
Kata kunci : Etos Kerja dan Prestasi kerja.
"
PENGARUH FAKTOR-FAKTOR STRES KERJA TERHADAP DISIPLIN KERJA DOSEN UNIVERSITAS TRUNOJOYO MADURA,"ABSTRAK

Penelitian ini bertujuan untuk mengetahui pengaruh faktor-faktor stres kerja terhdap disiplin kerja yang dilakukan terhadap dosen Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 86 orang Dosen, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: adanya pengaruh faktor-faktor stres kerja yang terdiri dari stressor lingkungan fisik, stressor individu, stressor kelompok dan stressor organisasi mempunyai pengaruh terhadap disiplin kerja dosen dan variabel stressor lingkungan fisik merupakan variabel yang dominan mempengaruhi disiplin kerja dosen Universitas Trunojoyo Madura.

KataKunci :Stressor Lingkungan Fisik, Stressor Individu, Stressor Kelompok, Stressor Organisasi, Disiplin Kerja.
"
"Analisis Inovasi Dan Keunggulan Bersaing 
Dalam Meningkatkan Kinerja Pemasaran
(Studi Pada Optik Reza Lamongan)","ABSTRAK
	Tujuan penelitian ini adalah mendeskripsikan inovasi, keunggulan bersaing, kinerja pemasaran sebelum dan sesudah diterapkannya inovasi dan keunggulan bersaing pada Optik Reza Lamongan. Penelitian ini menggunakan deskriptif kualitatif dengan pendekatan fenomenologi. Teknik pengumpulan data yang digunakan adalah wawancara, observasi, penggunaan dokumen. Sedangkan teknik analisis data dilakukan dengan cara data reduction, data display, conclusion drawing atau verification.
	Hasil penelitian menunjukkan bahwa dalam perusahaan Optik Reza Lamongan telah melakukan sebuah inovasi, keunggulan bersaing dalam meningkatkan kinerja pemasaran. Setelah Optik Reza Lamongan menerapkan inovasi dan keunggulan bersaing volume omzet penjualan semakin meningkat terbukti pada tahun ke tahun terus mengalami peningkatan. Produk yang ditawarkannya semakin mengalami perbaikan, sehingga pangsa pasarnya semakin meluas ke segala daerah yang ada di Jawa Timur dan Jawa Tengah.
	
Kata kunci : Inovasi, Keunggulan Bersaing, Kinerja Pemasaran

"
"PELAPORAN BIAYA KUALITAS UNTUK MEMINIMALKAN TERJADINYA RISIKO PRODUK CACAT DALAM MENINGKATKAN PROFITABILITAS PERUSAHAAN PADA CV. KAPUAS INTI SARANA, SURABAYA","ABSTRAK

Penelitian ini mengungkapkan beberapa rumusan masalah, diantaranya adalah bagaimanakah pelaporan biaya kualitas dapat meminimalkan terjadinya risiko produk cacat pada CV. Kapuas Inti Sarana?, dan bagaimanakah pengaruh pelaporan biaya kualitas terhadap tingkat profitabilitas pada CV. Kapuas Inti Sarana?. Penelitian ini bertujuan untuk mengetahui adanya pengaruh pelaporan biaya kualitas terhadap terjadinya risiko produk cacat dan tingkat profitabilitas perusahaan. 
Penelitian ini menggunakan metode deskriptif, yang menggambarkan suatu fenomena dengan mendeskripsikan sejumlah variabel yang berasal dari data masa lalu dan yang terjadi pada masa sekarang. 
Hasil dari penelitian ini adalah dengan pelaporan biaya kualitas secara periodik dan terperinci dapat berpengaruh pada peningkatan profitabilitas perusahaan, ini dapat terjadi karena pelaporan biaya kualitas secara terperinci akan mengurangi terjadinya risiko produk cacat. Apabila produk cacat berkurang maka akan berpengaruh pada peningkatan penjualan, yang secara langsung juga akan berpengaruh pada meningkatnya profitabilitas perusahaan secara keseluruhan. 
Kata kunci: Risiko produk cacat, biaya kualitas, profitabilitas
"
PENGARUH PENGEMBANGAN KARIR TERHADAP SEMANGAT KERJA KARYAWAN PLN CABANG BANGKALAN,"PLN merupakan Badan Usaha Milik Negara yang bergerak dalam bidang penyediaan listrik nasional. PLN mengelola bisnisnya melalui praktek-paktek terbaik dengan mengoptimalisasikan sumbr daya manusia yang dimiliki. Salah satu caranya melalui proses pengembangan karir. Tujuan penelitian ini adalah untuk mengetahui apakah terdapat pengaruh yang signifikan antara pengembangan karir terhadap semangat kerja karyawan PLN Cabang Bangkalan secara parsial dan secara simultan .Penelitian ini bersifat penelitian populasi. Besar populasi pada penelitian ini sebesar 64 responden.Uji kuesioner yang digunakan adalah uji validitas dan uji reliabilitas. Teknik analisis data menggunakan analisis regresi linier berganda, uji t, uji F dan koefisien determinasi.
Hasil penelitian ini menyatakan  variabel pengembangan karir yang terdiri dari prestasi kerja, pengenalan, kesetiaan orgnisasional, mentor dan sponsor serta kesempatan untuk tumbuh memiliki pengaruh yang positif terhadap semangat kerja karyawan. Dari 5 variabel diatas, prestasi kerja merupakan variabel yang memiliki pengaruh paling kuat terhadap semangat kerja karyawan PLN cabang bangkalan 
Kata kunci :Pengembangan karir, semangat kerja,Karyawan PLN"
Pengaruh Retailing Mix terhadap Keputusan Pembelian Konsumen pada Idola Mart Kwanyar,"Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi terhadap keputusan pembelian konsumen dan untuk mengetahui variabel retailimg mix yang berpengaruh lebih besar terhadap keputusan pembelian konsumen pada Idola Mart Kwanyar.
Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif, yaitu penelitian yang berlandaskan pada filsafat positivisme yang bertujuan untuk menguji hipotesis yang telah ditetapkan. Sampel dalam penelitian ini adalah konsumen yang melakukan pembelian pada Idola Mart Kwanyar yang berjumlah 70 konsumen. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Validitas, Reliabilitas dan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t.
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,557 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 55,7%, sedangkan sisanya 44,3% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi secara simultan berpengaruh signifikan terhadap keputusan pembelian Idola Mart Kwanyar. Berdasarkan uji t diketahui bahwa secara parsial variabel lokasi, merchandise, harga dan pelayanan berpengaruh signifikan terhadap variabel terikat sedangkan variabel atmosfer dalam gerai dan promosi tidak berpengaruh terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel harga.

Kata kunci : Retailing Mix lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan, promosi dan Keputusan Pembelian"
"PENGARUH PERSEPSI MANFAAT, PERSEPSI KEMUDAHAN, KEAMANAN DAN KETERSEDIAAN FITUR TERHADAP MINAT ULANG NASABAH BANK DALAM MENGGUNAKAN INTERNET BANKING (Studi pada Program Layanan Internet Banking BRI)","Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi minat ulang nasabah BRI untuk menggunakan kembali layanan Internet Banking BRI baik secara parsial maupun simultan. Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah semua nasabah BRI di kota Bangkalan yang menggunakan layanan Internet Banking BRI dan diperoleh sampel sebanyak 50 responden yang diambil dengan teknik purposive sampling. Teknik analisis menggunakan regresi linier berganda. Hasil penelitian menunjukkan bahwa, (1) secara simultan terjadi pengaruh yang signifikan antara variabel bebas (persepsi manfaat, persepsi kemudahan, keamanan, dan ketersediaan fitur) terhadap minat ulang menggunakan internet banking, (2) secara parsial, menunjukkan bahwa semua variabel bebas berpengaruh positif dan signifikan terhadap minat ulang menggunakan layanan internet banking, kecuali pada variabel persepsi kemudahan, kecuali pada variabel persepsi kemudahan.
Kata Kunci: Persepsi Manfaat, Persepsi Kemudahan, Keamanan, Ketersediaan Fitur, Minat Ulang Menggunakan Internet Banking."
PENGARUH IKLAN TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN HELM MEREK INK DI BANGKALAN,"Tujuan penlitian ini adalah (1) untuk mengetahui apakah variabel iklan berdasarkan konsep AIDA berpengaruh signifikan terhadap keputusan pembelian helm INK di kota Bangkalan, (2) untuk mengetahui variabel konsep iklan AIDA manakah yang berpengaruh paling dominan terhadap keputusan pembelian helm INK di kota Bangkalan.
Penelitian ini menggunakan pendekatan pendekatan kuantitatif yang berusaha untuk mengetahui bagaimana pengaruh iklan terhadap keputusan pembelian konsumen helm INK di Bangkalan. Teknik pengambilan sampel menggunakan purposive sampling dengan 50 responden. Teknik pengumpulan data yaitu dengan kuesioner, kepustakaan dan menggunakan skala likert untuk mengukur jawaban responden. Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik. Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel iklan yang terdiri dari attention, interest, desire dan action berpengaruh secara simultan terhadap keputusan pembelian konsumen helm INK di Bangkalan. Variabel attention berpengaruh paling dominan terhadap keputusan pembelian konsumen helm INK di Bangkalan.
Kata Kunci : Iklan, attention, interest, desire, action dan keputusan pembelian konsumen
"
PENGARUH KUALITAS PELAYANAN TERHADAP KEPUASAN PASIEN PADA RUMAH SAKIT UMUM TERPADU SURABAYA,"ABSTRAK

Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel kualitas pelayanan yang terdiri dari profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5), service recovery (X6), dan serviscape (X7)  terhadap kepuasan pasien (Y) pada Rumah Sakit Umum Terpadu Surabaya dan untuk mengetahui variabel kualitas pelayanan yang berpengaruh lebih besar terhadap kepuasan pasien Rumah Sakit Umum Terpadu Surabaya.. 
Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,540 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 54%, sedangkan sisanya 46% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel variabel kualitas pelayanan yang terdiri dari profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5), service recovery (X6), dan servisecape (X7) secara simultan berpengaruh signifikan terhadap terhadap kepuasan pasien (Y) pada Rumah Sakit Umum Terpadu Surabaya. Berdasarkan uji t diketahui bahwa secara parsial variabel profesionalisme dan keterampilan (X1), sikap dan perilaku (X2), aksesibilitas dan fleksibilitas (X3), reliabilitas dan kepercayaan (X4), reputasi dan kredibilitas (X5) dan servisecape (X7)  tidak berpengaruh signifikan terhadap variabel terikat sedangkan variabel service recovery (X6) berpengaruh signifikan terhadap kepuasan pasien (Y) Rumah Sakit Umum Terpadu Surabaya. Variabel yang berpengaruh lebih besar adalah variabel service recovery (X6).
Kata kunci : Kualitas Pelayanan dan Kepuasan Pasien.
"
Pengaruh Harga dan Kualitas Produk Terhadap Keputusan Pembelian Pada Deterjen Rinso Anti Noda (Studi Pada Mahasiswa Universitas Trunojoyo Madura yang Berdomisili di Desa Telang Bangkalan),"ABSTRAK
Tujuan penelitian ini adalah (1) untuk mengetahui harga dan kualitas produk berpengaruh secara simultan terhadap keputusan pembelian pada deterjen Rinso Anti Noda, (2) untuk mengetahui harga dan kualitas produk berpengaruh secara parsial terhadap keputusan pembelian pada deterjen Rinso Anti Noda dan (3) untuk mengetahui variabel yang berpengaruh dominan terhadap keputusan  pembelian pada deterjen Rinso Anti Noda.
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,734 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 73,4%, sedangkan sisanya 26,6% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F harga dan kualitas produk secara simultan berpengaruh signifikan terhadap keputusan pembelian pada deterjen Rinso Anti Noda (studi pada mahasiswa Universitas Trunojoyo Madura yang berdomisili di desa Telang Bangkalan). Berdasarkan uji t diketahui bahwa secara parsial variabel harga dan kualitas produk berpengaruh signifikan terhadap variabel terikat. Variabel yang berpengaruh dominan adalah variabel harga.
Kata Kunci: Harga, kualitas produk, dan keputusan pembelian.
"
ANALISA KUALITAS PELAYANAN JASA UNTUK MENGUKUR KEPUASAN PENGGUNA SEPEDA MOTOR DI JEMBATAN SURAMADU,"ABSTRAK
Tujuan penelitian ini adalah untuk menganalisis atribut kualitas pelayanan berdasarkan tingkat kepentingan dan tingkat kinerja menurut pengguna sepeda motor Jembatan Suramadu dan untuk mengetahui kepuasan pengguna sepeda motor terhadap kualitas pelayanan Jembatan Suramadu.
Berdasarkan hasil penelitian yang didapat pada Diagram Kartesius Importance Performance menunjukkan bahwa terdapat enam atribut yang menjadi fokus utama ketidak puasan responden yaitu Lampu penerangan Jembatan Suramadu terpasang dan menyala dengan baik pada malam hari, Petugas Jasa Marga berpenampilan rapi, Kondisi jalan Jembatan Suramadu yang mulus (tidak berlubang), Petugas tiket teliti dalam memberi uang kembalian, PT. Jasa Marga memberikan jaminan asuransi kecelakaan  bagi pengguna sepeda motor Jembatan Suramadu, dan Petugas patroli sungguh-sungguh memperhatikan kepentingan pengguna sepeda motor (ketika terjadi mogok,ban bocor,dll).
Kata kunci : kualitas pelayanan, kepuasan, importance performance."
PENGARUH PERSEPSI NILAI TERHADAP KEPUASAN PELANGGAN SEPEDA MOTOR MEREK YAMAHA NEW JUPITER Z DI KOTA BANGKALAN,"Tujuan penelitian ini adalah untuk mengetahui pengaruh dari variabel persepsi nilai yang terdiri dari kualitas produk, kualitas pelayanan, harga, faktor emosional, dan kemudahan terhadap kepuasan pelanggan baik secara simultan maupun parsial serta untuk mengetahui variebel manakah yang memilik pengaruh terbesar terhadap kepuasan pelanggan pada produk sepeda motor merek Yamaha New Jupiter Z di kota Bangkalan.
Penelitian ini menggunakan pendekatan kuantitatif dengan metode analisis data menggunakan regresi liniear berganda. Populasi dalam penelitian ini adalah semua pelanggan sepeda motor merek Yamaha New Jupiter Z di kota Bangkalan. Teknik pengambilan sampel dalam penelitian ini menggunakan metode purposive sampling, dengan jumlah responden sebanyak 60 responden dan untuk metode pengumpulan data dengan cara menyebarkan kuesioner yang hasilnya diolah dengan menggunakan bantuan aplikasi komputer SPSS v18.0 for windows.
Hasil penelitian membuktikan bahwa dengan uji F (Simultan) dari variabel persepsi nilai yang terdiri dari kualitas produk, kualitas pelayanan, harga, faktor emosional, dan kemudahan berpengaruh terhadap kepuasan pelanggan sepeda motor merek Yamaha New Jupiter Z di kota Bangkalan dan hasil penelitian juga membuktikan bahwa dengan uji t (Parsial) dari variabel persepsi nilai yang terdiri dari kualitas produk, kualitas pelayanan, harga, faktor emosional, dan kemudahan berpengaruh terhadap kepuasan pelanggan sepeda motor merek Yamaha New Jupiter Z di kota Bangkalan dengan variabel harga yang memiliki pengaruh terbesar."
"ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PREFERENSI BELANJA ONLINE PRODUK FASHION (Studi Pada Mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura)","Ulfiyatun Mutohharoh, “Analisis Faktor-faktor yang Menentukan Preferensi Belanja Online Produk Fashion (Studi pada mahasiwa Fakultas Ekonomi
TRUNOJOYO JOURNAL OF ECONOMICS
Program Studi Manajemen Fakultas Ekonomi
Universitas Trunojoyo Madura
2
Universitas Trunojoyo Madura)”. Dibawah bimbingan Drs. Mohamad Tambrin, MM dan Yustina Crismardani, S.Si, MM
Internet merupakan suatu sistem informasi global berbasis komputer. Internet perlahan-lahan telah menggeser budaya pembelian produk dari cara konvensional menjadi lebih praktis dan modern melalui suatu cara yang disebut dengan berbelanja secara online. Seperti yang dirilis oleh detik.com bahwa hampir 75% mahasiswa pernah melakukan pembelian produk secara online, disebutkan juga produk yang dibeli oleh mahasiswa sebagian besar adalah produk fashion.
Penelitian ini mempunyai tujuan untuk menganalisis faktor-faktor yang menentukan preferensi belanja online produk fashion pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura, serta untuk mengetahui faktor yang dipertimbangkan dalam menetukan preferensi belanja online produk fashion pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura. Dari penelitian ini tidak ada variabel bebas maupun variabel terikat, tetapi variabel satu dengan yang lainnya saling berketergantungan (interdependent variable).
Jenis penelitian yang digunakan adalah penelitian deskriptif, metode penelitian sampel yang digunakan adalah accidental sampling, jumlah populasi 100 responden pada mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura yang pernah berbelanja produk fashion secara online. Metode analisis yang digunakan adalah analisis faktor.
Hasil penelitian menyebutkan bahwasanya dari hasil statistic analisis faktor konfirmatori didapatkan bahwa nilai KMO dari 10 item 4 variabel preferensi belanja online menghasilkan nilai yang cukup rendah yaitu sebesar 0,547 sehingga berada pada klasifikasi kurang (Miserable).Nilai KMO yang cukup rendah dari hasil statistik analisis faktor konfirmatori didapatkan bahwa nilai KMO ini menunjukkan adanya ukuran kecukuperatan hubungan antar variabel yang digunakan dalam analisis faktor sehingga dapat dikatakan data pada uji analisis faktor ini layak digunakan.
Kesimpulan dari penelitian ini adalah: Harga (X1), pelayanan (X2), waktu (X3), dan alternatif (X4) merupakan faktor yang menentukan preferensi belanja online produk fashion mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura. Berdasarkan hasil pengujian faktor harga merupakan faktor yang dipertimbangkan oleh mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura dalam menentukan preferensi belanja online pada produk fashion."
ANALISIS VOLUME PERDAGANGAN SAHAM DAN RETURN SAHAM SEBELUM DAN SESUDAH STOCK SPLIT PADA PERUSAHAAN GO PUBLIC DI BURSA EFEK INDONESIA TAHUN 2007-2011,"KUSNIYAH, Analisis Volume Perdagangan Saham dan Return Saham Sebelum dan Sesudah Stock Split Pada Perusahaan Go Public di Bursa Efek Indonesia. Dibawah bimbingan Hj. Evaliati Amaniyah, SE. MSM. Dan Prasetyo Nugroho, Spi., MM.
	Kenaikan harga saham yang terlalu tinggi, akan menyebabkan permintaan terhadap pembelian saham tersebut mengalami penurunan dan pada akhirnya dapat menyebabkan harga saham perusahaan tersebut menjadi statis dan tak fluktuatif lagi. Untuk menghindari munculnya kondisi tersebut, maka salah satu langkah yang diambil oleh perusahaan adalah melalui stock split yang diharapkan dapat meningkatkan likuiditas saham. 
Tujuan penelitian ini bertujuan untuk memperoleh bukti empiris mengenai apakah aktifitas stock split mempunyai perbedaan terhadap volume perdagangan saham dan untuk memperoleh bukti empiris mengenai apakah aktifitas stock split mempunyai perbedaan terhadap return saham. Pendekatan penelitian yang digunakan dalam penelitian ini adalah pendekatan kuantitatif. 
Populasi penelitian adalah seluruh perusahaan Go Public di Bursa Efek Indonesia yang melakukan aktifitas stock split dengan teknik pengambilan sampel menggunakan metode purposive Sampling, dengan jumlah sampel 20 perusahaan kemudian dianalisis menggunakan uji t paired sample 
Kesimpulan dari penelitian ini adalah: (1) terdapat perbedaan volume perdagangan saham sebelum dan sesudah stock split 13 perusahaan sampel, (2) tidak terdapat perbedaan volume perdagangan saham sebelum dan sesudah stock split untuk 7 perusahaan sampel, (3) terdapat perbedaan return saham sebelum dan sesudah stock split 19 perusahaan sampel dan (4) tidak terdapat perbedaan return saham sebelum dan sesudah stock split 1 perusahaan sampel.

Kata kunci: Stock Split, Volume Perdagangan Saham, Return Saham
"
PERANAN MANAJEMEN PIUTANG TERTAHADAP RENTABILITAS ANTARA KOPERASI BERBASIS SYARIAH DENGAN KOPERASI BERBASIS KONVENSIONAL,"Muzanni, Peranan Manajemen Piutang tertahadap Rentabilitas antara Koperasi Berbasis Syariah dengan Koperasi Berbasis Konvensional (Studi Pada Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan dan KPRI Kopergu Bangkalan). di bawah bimbingan Hj. Evaliati Amaniyah, SE., MSM dan Purnamawati, SE, M.Si.

Lembaga keuangan memperoleh pendapatan dari pinjaman atau pendanaan yang diberikan kepada nasabah atau anggota dan secara otomatis menjadi piutang. Semakin tinggi modal yang tertanam dalam piutang maka semakin tinggi pula potensi keuntungan yang akan diperoleh. Sebaliknya, semakin kecil modal yang tertanam pada piutang, maka semakin kecil pula potensi keuntungan yang akan didapatkan. Besarnya piutang serta adanya penerapan manajemen piutang yang baik akan berpengaruh terhadap rentabilitas lembaga tersebut. 
Tujuan penelitian ini untuk mengetahui peranan pengelolaan piutang terhadap rentabilitas yang diterapkan oleh Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan dan KPRI Kopergu Bangkalan.
Penelitian ini dilakukan dengan menggunakan pendekatan deskriptif dan alat analisis yang digunakan berupa rasio-rasio yang terdiri dari rasio aktivitas dan rasio rentabilitas.
Kesimpulan penelitian studi ini adalah 1) manajemen piutang Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan memiliki kriterian cukup efisien, sedangkan pada KPRI Kopergu Bangkalan efisien akan tetapi antara kedua koperasi ini tidak memiliki tingkat pertumbuhan yang signifikan. 2) Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan memiliki tingkat perputaran piutang lebih tinggi dan periode pengumpulan lebih cepat dari pada KPRI Kopergu Bangkalan. 3) secara global rasio rentabilitas ekonomi Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan berada pada kategori cukup efisien, sedangkan pada KPRI Kopergu Bangkalan berada pada kategori efisien. Untuk perkembangan rentabilitas pada tahun terakhir (tahun 2012) antara kedua lembaga tersebut berada pada kategori cukup efisien. 4) perkembangan rasio rentabilitas modal sendiri yang dimiliki oleh Koperasi BMT UGT Sidogiri Cabang Pembantu Bangkalan mengalami perkembangan meningkat, sedangkan pada KPRI Kopergu Bangkalan mengalami penurunan.   

Kata kunci:  manajemen piutang, rentabilitas.
"
